Student_ID,Age,Study_Hours,Attendance,Assignments,Marks
1,24,5.0,87.2,5.0,48.5
2,21,3.5,93.7,10.0,99.3
3,22,6.6,69.1,10.0,41.3
4,24,9.9,,3.0,50.0
5,20,4.5,61.3,7.0,98.5
6,22,6.2,96.5,3.0,77.7
7,22,4.7,64.7,9.0,67.0
8,24,8.6,85.8,7.0,44.7
9,19,9.1,70.0,9.0,80.2
10,20,8.9,93.5,4.0,48.3
11,24,9.8,80.5,6.0,80.3
12,20,1.2,65.4,10.0,98.8
13,20,8.6,82.8,8.0,71.9
14,22,7.8,76.3,3.0,52.8
15,21,3.1,86.5,5.0,77.5
16,20,9.6,95.3,9.0,70.8
17,23,2.3,76.4,9.0,72.0
18,22,7.1,71.6,6.0,68.7
19,19,3.0,60.6,3.0,80.4
20,21,4.9,83.0,5.0,74.3
21,23,7.5,76.1,5.0,99.2
22,23,6.1,75.0,9.0,89.6
23,19,4.8,67.3,8.0,55.9
24,21,3.9,77.2,9.0,83.5
25,22,8.6,99.4,8.0,52.9
26,18,2.3,71.9,9.0,86.9
27,21,4.9,84.0,9.0,48.9
28,19,9.1,91.1,5.0,68.4
29,23,8.6,90.0,8.0,87.4
30,22,4.6,73.2,5.0,56.8
31,21,7.9,84.4,3.0,90.2
32,18,8.4,94.9,9.0,78.6
33,18,9.0,60.6,4.0,63.9
34,20,5.9,77.4,8.0,65.4
35,20,2.8,69.0,,95.6
36,24,3.3,75.5,10.0,53.1
37,19,3.7,76.6,7.0,81.6
38,21,6.3,89.9,7.0,82.4
39,21,1.3,63.8,4.0,95.3
40,24,6.7,80.5,5.0,82.8
41,23,4.3,82.6,5.0,75.1
42,23,3.7,79.8,10.0,94.2
43,24,8.9,89.3,10.0,89.7
44,23,5.1,75.4,6.0,83.0
45,20,1.9,97.8,10.0,42.0
46,21,8.4,79.3,7.0,62.4
47,24,1.4,82.8,7.0,77.9
48,21,7.5,93.0,5.0,71.3
49,18,8.0,71.0,7.0,59.2
50,20,4.2,,5.0,48.7
51,22,8.4,88.3,9.0,73.2
52,20,5.6,79.3,9.0,57.2
53,24,5.2,95.9,5.0,54.0
54,22,1.4,,8.0,
55,18,3.6,76.0,5.0,87.1
56,24,9.4,76.6,3.0,69.3
57,19,4.5,76.3,3.0,53.0
58,21,5.9,73.0,3.0,47.0
59,18,5.8,91.3,3.0,69.9
60,21,6.3,90.4,4.0,87.7
61,23,1.6,79.1,6.0,79.2
62,19,4.3,61.8,6.0,53.9
63,19,7.5,72.4,5.0,66.2
64,18,2.8,71.7,9.0,91.3
65,19,2.8,92.4,7.0,50.7
66,22,1.1,63.5,3.0,71.9
67,19,4.9,92.2,6.0,61.4
68,21,8.9,86.8,6.0,
69,21,1.5,89.3,3.0,43.0
70,24,2.7,77.3,9.0,73.4
71,21,3.8,87.2,4.0,41.2
72,24,7.6,84.4,4.0,46.2
73,21,6.8,90.8,10.0,60.9
74,22,4.7,77.9,6.0,42.6
75,24,7.8,78.9,10.0,64.0
76,20,6.5,85.7,4.0,47.8
77,23,9.1,64.3,8.0,61.0
78,18,8.4,77.4,3.0,87.5
79,21,3.3,98.9,9.0,77.6
80,19,3.4,61.5,6.0,66.7
81,21,2.1,72.6,3.0,45.5
82,19,4.0,72.6,4.0,77.1
83,23,10.0,85.3,3.0,49.8
84,23,4.7,64.2,4.0,44.6
85,23,3.0,85.1,9.0,79.8
86,19,7.9,63.8,4.0,94.7
87,21,5.9,63.8,3.0,
88,23,2.3,89.1,9.0,42.5
89,22,4.4,73.0,4.0,92.8
90,24,4.7,99.1,10.0,44.0
91,19,7.8,61.5,8.0,92.1
92,19,1.2,77.8,5.0,63.5
93,21,3.4,64.5,3.0,61.9
94,19,5.7,74.1,5.0,72.6
95,19,3.4,99.9,3.0,97.4
96,23,6.7,95.6,4.0,93.9
97,21,5.3,61.9,4.0,68.2
98,23,4.3,82.5,9.0,81.7
99,24,9.5,85.9,6.0,74.8
100,24,6.7,68.4,8.0,81.6
101,23,2.2,65.8,10.0,89.8
102,24,6.0,96.2,6.0,42.1
103,21,8.0,98.8,5.0,59.5
104,18,7.4,99.7,4.0,97.6
105,23,2.5,91.6,6.0,97.0
106,22,9.8,86.5,4.0,40.7
107,22,5.0,73.8,3.0,52.1
108,19,2.4,66.9,6.0,99.6
109,24,2.6,63.2,5.0,69.6
110,22,1.9,87.7,9.0,74.4
111,19,8.2,91.4,6.0,50.0
112,18,,93.1,4.0,93.7
113,21,2.1,96.6,7.0,53.9
114,21,8.7,95.2,7.0,51.4
115,21,4.1,100.0,9.0,53.7
116,22,1.3,69.8,9.0,95.2
117,18,1.5,90.5,8.0,82.2
118,22,2.3,83.5,9.0,86.1
119,24,2.9,70.4,4.0,62.6
120,22,7.0,99.3,10.0,94.6
121,18,2.4,95.9,3.0,87.4
122,18,2.1,65.1,6.0,85.0
123,24,7.9,61.0,9.0,98.3
124,18,7.0,87.5,7.0,62.0
125,18,4.9,84.2,3.0,76.7
126,21,5.9,97.4,10.0,94.6
127,24,3.8,69.4,4.0,87.5
128,20,5.3,63.4,3.0,73.8
129,20,5.6,70.4,4.0,44.6
130,18,4.5,60.8,10.0,79.2
131,20,9.2,61.4,10.0,71.6
132,20,1.1,96.6,8.0,51.1
133,18,8.0,74.1,6.0,92.9
134,20,2.1,76.4,3.0,60.6
135,22,8.2,60.7,10.0,63.2
136,19,,70.8,6.0,80.3
137,24,8.6,92.2,3.0,69.3
138,19,1.9,84.6,4.0,45.4
139,18,6.0,90.2,10.0,63.2
140,21,5.5,77.9,4.0,45.7
141,24,7.4,72.4,3.0,51.4
142,18,5.8,79.3,8.0,40.4
143,21,5.9,72.9,4.0,50.9
144,19,4.9,93.6,5.0,59.8
145,18,3.8,71.9,5.0,72.3
146,24,5.3,86.4,6.0,95.2
147,24,2.1,65.5,9.0,72.4
148,23,9.7,87.5,5.0,82.3
149,22,7.4,96.5,5.0,61.5
150,20,9.6,84.3,8.0,85.1
151,21,3.0,82.4,,77.2
152,23,8.9,98.4,9.0,67.6
153,20,8.3,85.1,7.0,51.6
154,20,7.1,70.4,9.0,58.2
155,18,6.6,71.7,7.0,77.3
156,20,3.8,88.2,8.0,65.6
157,22,8.3,89.4,7.0,93.4
158,24,5.5,72.1,8.0,54.1
159,23,1.6,73.8,7.0,44.4
160,20,3.8,99.6,4.0,75.4
161,18,9.4,64.1,8.0,93.2
162,22,8.7,,9.0,61.9
163,19,9.8,62.5,6.0,
164,24,6.7,92.8,6.0,53.9
165,24,3.2,63.7,8.0,73.5
166,23,2.5,87.0,5.0,87.2
167,24,2.7,62.3,10.0,92.0
168,20,1.2,86.9,6.0,46.3
169,18,4.5,93.7,9.0,61.4
170,24,2.7,76.0,5.0,78.4
171,24,4.7,80.9,6.0,42.1
172,19,9.4,76.1,10.0,81.4
173,19,4.9,72.0,3.0,
174,21,8.9,92.1,3.0,57.3
175,22,6.4,70.9,8.0,88.9
176,20,3.2,88.9,10.0,57.4
177,24,4.2,68.2,9.0,99.5
178,24,1.8,70.0,9.0,89.0
179,18,4.0,73.5,,82.5
180,21,7.1,83.6,4.0,43.7
181,22,1.6,78.2,5.0,94.3
182,21,2.8,89.8,10.0,87.4
183,23,4.4,68.5,6.0,53.7
184,22,9.8,60.4,8.0,63.5
185,24,8.1,91.1,,56.1
186,24,7.6,92.9,,99.1
187,22,2.0,62.4,7.0,91.3
188,24,8.0,84.4,8.0,95.8
189,20,8.1,75.1,6.0,87.3
190,22,6.4,91.8,4.0,67.4
191,21,9.9,95.0,10.0,52.3
192,22,3.9,94.0,7.0,52.5
193,24,9.5,91.1,8.0,49.1
194,20,9.2,70.8,6.0,72.8
195,20,1.1,92.5,3.0,95.2
196,23,5.1,81.3,9.0,99.5
197,21,9.8,62.1,6.0,57.2
198,19,1.9,78.3,3.0,81.8
199,19,5.9,97.7,3.0,75.8
200,22,9.8,95.5,8.0,69.3
201,23,6.0,64.1,6.0,79.9
202,18,2.7,89.8,9.0,62.3
203,22,6.2,92.2,6.0,96.7
204,23,2.8,,3.0,82.3
205,21,5.7,78.9,5.0,85.3
206,21,1.7,88.4,7.0,54.5
207,21,6.4,77.6,4.0,50.1
208,21,5.7,64.5,6.0,63.7
209,21,7.7,88.2,7.0,
210,23,6.7,96.5,7.0,96.3
211,23,5.9,86.1,10.0,65.6
212,20,7.2,91.0,5.0,86.4
213,19,2.3,74.3,7.0,68.2
214,24,6.4,67.3,6.0,57.7
215,21,2.5,85.7,8.0,84.4
216,18,9.3,73.1,8.0,87.9
217,24,1.6,94.4,10.0,52.2
218,23,4.9,64.9,7.0,58.3
219,18,7.3,77.3,6.0,69.7
220,18,5.1,75.9,6.0,51.2
221,18,1.8,97.5,3.0,95.7
222,20,6.0,66.1,5.0,75.5
223,23,6.8,60.4,9.0,47.3
224,18,7.3,69.5,4.0,51.0
225,21,4.4,,9.0,97.3
226,22,6.1,68.4,10.0,84.3
227,18,5.1,69.6,3.0,84.1
228,20,7.0,65.2,4.0,44.3
229,24,6.3,88.6,9.0,93.7
230,23,5.7,62.8,6.0,66.6
231,20,3.2,73.2,8.0,79.6
232,18,1.0,71.3,3.0,97.6
233,23,2.6,82.2,9.0,46.0
234,22,2.1,89.2,10.0,68.9
235,18,5.0,81.3,7.0,43.0
236,20,6.5,,10.0,70.0
237,19,2.9,98.1,10.0,55.1
238,21,9.5,74.5,10.0,94.7
239,24,1.1,91.1,7.0,63.9
240,20,8.0,89.6,4.0,78.0
241,23,6.6,95.7,6.0,91.6
242,18,4.4,77.9,8.0,99.0
243,21,1.5,81.2,4.0,70.2
244,18,6.6,76.6,9.0,67.3
245,23,4.5,94.0,9.0,44.5
246,18,9.4,69.2,8.0,40.8
247,19,5.9,69.6,9.0,76.5
248,21,9.5,74.9,5.0,43.9
249,21,3.0,69.2,8.0,62.8
250,23,7.5,82.4,7.0,40.2
251,24,6.6,65.4,9.0,76.9
252,19,,72.8,9.0,65.5
253,20,2.9,,3.0,47.6
254,18,7.0,76.4,3.0,57.8
255,22,5.5,89.9,3.0,74.2
